,CAPE,CAPE_Tv,CIN,CIN_Tv,Date,Station,Time
352,0.0,0.0,-0.9898137320201118,0.0,1992-01-05,BNA,0
353,0.0,0.0,0.0,0.0,1992-01-05,BOI,0
354,0.0,0.0,0.0,0.0,1992-01-05,BRO,0
355,0.0,0.0,0.0,0.0,1992-01-05,BUF,0
356,0.0,0.0,0.0,0.0,1992-01-05,CAR,0
357,0.0,0.0,-0.962366260998531,0.0,1992-01-05,CHH,0
358,0.0,0.0,0.0,0.0,1992-01-05,CHS,0
359,9.066853505612729,21.6576102624814,-21.390058382372587,0.0,1992-01-05,CRP,0
360,0.0,0.0,0.0,0.0,1992-01-05,DDC,0
361,0.0,0.0,-166.10298203260896,-155.81477213255798,1992-01-05,DNR,0
362,0.9144298360328941,2.6602661036657262,-0.00012230829046443547,0.0,1992-01-05,DRT,0
363,0.0,0.0,-269.59626180042716,-256.30685290599513,1992-01-05,GGW,0
364,0.0,0.0,0.0,0.0,1992-01-05,GJT,0
365,0.0,0.0,0.0,0.0,1992-01-05,GRB,0
366,0.0,0.0,0.0,0.0,1992-01-05,IAD,0
367,0.0,0.0,0.0,0.0,1992-01-05,INL,0
368,0.0,0.0,-153.09330527524645,-142.91891527987568,1992-01-05,JAN,0
369,0.0,0.0,-1.1875489223654891,-0.2987324308369451,1992-01-05,LBF,0
370,0.0,0.0,0.0,0.0,1992-01-05,LCH,0
371,0.0,0.0,-11.608622884559809,-8.842974438509849,1992-01-05,LIX,0
372,0.0,0.0,0.0,0.0,1992-01-05,LZK,0
373,0.0,0.0,0.0,0.0,1992-01-05,MAF,0
374,0.0,0.0,0.0,0.0,1992-01-05,MFR,0
375,4.203026496189637,15.299918381489926,-3.69012328760376,0.0,1992-01-05,NKX,0
376,1.6181648974246456,14.388212211878196,-30.75354241268097,-0.08766337384605699,1992-01-05,OAK,0
377,0.0,0.0,0.0,0.0,1992-01-05,OUN,0
378,0.9678692898254845,0.8687873218724914,-0.3429968471918773,0.0,1992-01-05,PIT,0
379,0.0,0.0,0.0,0.0,1992-01-05,RAP,0
380,0.0,0.0,0.0,0.0,1992-01-05,SLC,0
381,0.648658446561458,3.86258010990641,-14.586049406892602,0.0,1992-01-05,TBW,0
382,0.0,0.0,0.0,0.0,1992-01-05,TLH,0
383,0.0,0.0,0.0,0.0,1992-01-05,TOP,0
384,4.107162931298461,31.56905845503651,-4.708802776026304,0.0,1992-01-05,TUS,0
385,0.0,0.0,0.0,0.0,1992-01-05,UIL,0
386,0.0,0.0,0.0,0.0,1992-01-05,WAL,0
387,0.0,0.0,0.0,0.0,1992-01-05,WMW,0
388,0.0,0.0,-277.8203270666566,-273.3588011709133,1992-01-05,WPL,0
389,0.0,0.0,0.0,0.0,1992-01-05,YMO,0
390,0.0,0.0,0.0,0.0,1992-01-05,YQI,0
391,0.0,0.0,0.0,0.0,1992-01-05,ABQ,12
392,0.0,0.0,0.0,0.0,1992-01-05,ALB,12
393,0.0,0.0,-129.11082385037534,-119.66933157846593,1992-01-05,AMA,12
394,0.0,0.0,0.0,0.0,1992-01-05,BIS,12
395,0.0,0.0,0.0,0.0,1992-01-05,BNA,12
396,0.0,0.0,0.0,0.0,1992-01-05,BOI,12
397,0.0,0.0,0.0,0.0,1992-01-05,BRO,12
398,0.0,0.0,0.0,0.0,1992-01-05,BUF,12
399,0.0,0.0,-0.0001148083925041858,-1.902502828455051e-15,1992-01-05,CAR,12
400,0.0,0.0,0.0,0.0,1992-01-05,CHH,12
401,0.0,0.0,0.0,0.0,1992-01-05,CHS,12
402,0.0,0.0,0.0,0.0,1992-01-05,CRP,12
403,0.0,0.0,0.0,0.0,1992-01-05,DDC,12
404,0.0,0.0,-24.669802225217122,-23.240602519455496,1992-01-05,DNR,12
405,0.0,0.0,0.0,0.0,1992-01-05,DRT,12
406,0.0,0.0,0.0,0.0,1992-01-05,GGW,12
407,0.0,0.0,-0.37700271858856155,-0.12169237627162684,1992-01-05,GJT,12
408,0.0,0.0,0.0,0.0,1992-01-05,GRB,12
409,0.0,0.0,0.0,0.0,1992-01-05,GSO,12
410,0.0,0.0,-10.483554525674123,-6.393093341073758,1992-01-05,INL,12
